target,baseline_total_frames,model,total_frames,reduction_rate,predicted_positive_count
per_run,20322425,ベースライン（常にバグ発見）,20322425,0.0,500
per_run,20322425,ロジスティック回帰,14824697,0.2705251956889987,355
per_run,20322425,決定木,13574541,0.33204127952249796,345
per_run,20322425,ランダムフォレスト,13574541,0.33204127952249796,345
per_run,20322425,勾配ブースティング,13574541,0.33204127952249796,345
bug_detected_any,20322425,ベースライン（常にバグ発見）,20322425,0.0,100
bug_detected_any,20322425,ロジスティック回帰,20322425,0.0,100
bug_detected_any,20322425,決定木,20322425,0.0,100
bug_detected_any,20322425,ランダムフォレスト,20322425,0.0,100
bug_detected_any,20322425,勾配ブースティング,20205204,0.005768061636345023,99
bug_detected_all,20322425,ベースライン（常にバグ発見）,20322425,0.0,100
bug_detected_all,20322425,ロジスティック回帰,7013060,0.6549102776858569,36
bug_detected_all,20322425,決定木,12565475,0.381694113768411,62
bug_detected_all,20322425,ランダムフォレスト,12868405,0.36678792024081774,63
bug_detected_all,20322425,勾配ブースティング,12868405,0.36678792024081774,63
